tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
AX1-1b		AX1-1																	This study	LP-NOMAG				Northern Minnesota	AX1
AX1-1b	AX1-1b_LP-DIR-T	AX1-1		mt	215.7	25.5	1	9	-1	0.5	1.0	843	793	K		hargrave 2019-10-25 11:42:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Minnesota	AX1
AX1-1b	AX1-1b_LP-DIR-T	AX1-1		mt	292.8	45.2	1	9	0	0.5	1.0	843	793	K		hargrave 2019-10-25 11:42:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Minnesota	AX1
AX1-1b	AX1-1b_LP-DIR-T	AX1-1		mt	292.8	45.2	1	9	100	0.5	1.0	843	793	K		hargrave 2019-10-25 11:42:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Minnesota	AX1
AX1-2b		AX1-2																	This study	LP-NOMAG				Northern Minnesota	AX1
AX1-2b	AX1-2b_LP-DIR-T	AX1-2		mt	288.1	39.2	1	11	100	0.7	1.4	843	748	K		hargrave 2019-10-25 11:44:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Minnesota	AX1
AX1-2b	AX1-2b_LP-DIR-T	AX1-2		mt	288.1	39.2	1	11	0	0.7	1.4	843	748	K		hargrave 2019-10-25 11:44:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Minnesota	AX1
AX1-2b	AX1-2b_LP-DIR-T	AX1-2		mt	231.4	9.7	1	11	-1	0.7	1.4	843	748	K		hargrave 2019-10-25 11:44:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Minnesota	AX1
AX1-3b	AX1-3b_LP-DIR-T	AX1-3		mt	291.9	43.5	1	10	100	0.7	1.3	843	773	K		hargrave 2019-10-25 11:45:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Minnesota	AX1
AX1-3b	AX1-3b_LP-DIR-T	AX1-3		mt	291.9	43.5	1	10	0	0.7	1.3	843	773	K		hargrave 2019-10-25 11:45:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Minnesota	AX1
AX1-3b	AX1-3b_LP-DIR-T	AX1-3		mt	226.6	14.1	1	10	-1	0.7	1.3	843	773	K		hargrave 2019-10-25 11:45:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Minnesota	AX1
AX1-3b		AX1-3																	This study	LP-NOMAG				Northern Minnesota	AX1
AX1-4b		AX1-4																	This study	LP-NOMAG				Northern Minnesota	AX1
AX1-4b	AX1-4b_LP-DIR-T	AX1-4		mt	227.2	20.9	1	12	-1	0.7	2.4	843	723	K		hargrave 2019-10-25 11:47:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Minnesota	AX1
AX1-4b	AX1-4b_LP-DIR-T	AX1-4		mt	294.5	44.4	1	12	0	0.7	2.4	843	723	K		hargrave 2019-10-25 11:47:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Minnesota	AX1
AX1-4b	AX1-4b_LP-DIR-T	AX1-4		mt	294.5	44.4	1	12	100	0.7	2.4	843	723	K		hargrave 2019-10-25 11:47:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Minnesota	AX1
AX1-5b		AX1-5																	This study	LP-NOMAG				Northern Minnesota	AX1
AX1-5b	AX1-5b_LP-DIR-T	AX1-5		mt	230.3	17.4	1	10	-1	0.9	0.7	843	773	K		hargrave 2019-10-25 11:48:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Minnesota	AX1
AX1-5b	AX1-5b_LP-DIR-T	AX1-5		mt	292.8	40.5	1	10	0	0.9	0.7	843	773	K		hargrave 2019-10-25 11:48:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Minnesota	AX1
AX1-5b	AX1-5b_LP-DIR-T	AX1-5		mt	292.8	40.5	1	10	100	0.9	0.7	843	773	K		hargrave 2019-10-25 11:48:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Minnesota	AX1
AX1-6b	AX1-6b_LP-DIR-T	AX1-6		mt	226.4	25.0	1	13	-1	0.5	1.4	843	723	K		hargrave 2019-10-25 11:50:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Minnesota	AX1
AX1-6b	AX1-6b_LP-DIR-T	AX1-6		mt	293.3	38.7	1	13	0	0.5	1.4	843	723	K		hargrave 2019-10-25 11:50:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Minnesota	AX1
AX1-6b	AX1-6b_LP-DIR-T	AX1-6		mt	293.3	38.7	1	13	100	0.5	1.4	843	723	K		hargrave 2019-10-25 11:50:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Minnesota	AX1
AX1-6b		AX1-6																	This study	LP-NOMAG				Northern Minnesota	AX1
